ID,Track,카테고리,질의,기대 필터/열,패턴,1차 답변,1차 답변 시간(초), 2차 답변, 2차 답변 시간(초), 열/필터 일치 여부,답변 일관성,차이 유형,특이사항
F-01,Track 1,공고뷰-기본 정보,지원서 제출 완료한 지원자 수 알려줘,지원서 제출 여부,단일 조건,,,,,,,,
F-02,Track 1,공고뷰-기본 정보,복사 지원서로 지원한 지원자가 몇 명이야?,지원서 등록 구분,단일 조건,,,,,,,,
F-03,Track 1,공고뷰-기본 정보,과거에 5회 이상 지원 이력이 있는 지원자 수,과거 지원 이력,단일 조건,,,,,,,,
F-04,Track 1,공고뷰-기본 정보,관심지원자가 총 몇 명이야?,특이지원자,단일 조건,,,,,,,,
F-05,Track 1,공고뷰-기본 정보,아직 열람 안 한 지원서가 몇 개야?,열람 여부,단일 조건,,,,,,,,
F-06,Track 1,공고뷰-기본 정보,관리자 업로드 파일이 있는 지원자 수,관리자 업로드 파일,단일 조건,,,,,,,,
F-07,Track 1,공고뷰-지원자 기초 정보,사람인으로 지원한 지원자 몇 명이야?,지원 경로,단일 조건,,,,,,,,
F-08,Track 1,공고뷰-지원자 기초 정보,미국 국적 지원자 수 알려줘,국적,단일 조건,,,,,,,,
F-09,Track 1,공고뷰-지원자 기초 정보,"병역 미필, 면제 지원자가 몇 명이야?",병역,단일 조건,,,,,,,,
F-10,Track 1,공고뷰-지원자 기초 정보,장애 대상 지원자 수를 조회해줘,장애,단일 조건,,,,,,,,
F-11,Track 1,공고뷰-지원자 기초 정보,보훈 대상 지원자가 몇 명이야?,보훈,단일 조건,,,,,,,,
F-12,Track 1,공고뷰-학력/경력 정보,고졸 지원자 수 알려줘,최종학력,단일 조건,,,,,,,,
F-13,Track 1,공고뷰-학력/경력 정보,졸업예정 지원자가 몇 명이야?,졸업 구분,단일 조건,,,,,,,,
F-14,Track 1,공고뷰-학력/경력 정보,서울고등학교 출신 지원자 수,고등학교명,단일 조건,,,,,,,,
F-15,Track 1,공고뷰-학력/경력 정보,서울대학교 출신 지원자 몇 명이야?,대학교명,단일 조건,,,,,,,,
F-16,Track 1,공고뷰-학력/경력 정보,"서울대학교, 연세대학교, 고려대학교 대학원 출신 지원자 수",대학원명,단일 조건,,,,,,,,
F-17,Track 1,공고뷰-학력/경력 정보,경영학과 전공 지원자가 몇 명이야?,대학교 전공명,단일 조건,,,,,,,,
F-18,Track 1,공고뷰-학력/경력 정보,"대학원에서 컴퓨터 소프트웨어 및 공학, 심리학을 전공한 지원자 수 조회해줘",대학원 전공명,단일 조건,,,,,,,,
F-19,Track 1,공고뷰-학력/경력 정보,학점 3.5 이상인 지원자 수,학점,단일 조건,,,,,,,,
F-20,Track 1,공고뷰-학력/경력 정보,계약직 경력의 지원자가 몇 명이야?,경력기준,단일 조건,,,,,,,,
F-21,Track 1,공고뷰-학력/경력 정보,경력 3년 이상 지원자 수 알려줘,경력기간,단일 조건,,,,,,,,
F-22,Track 1,공고뷰-학력/경력 정보,프로젝트 경험이 있는 지원자 몇 명이야?,프로젝트,단일 조건,,,,,,,,
F-23,Track 1,공고뷰-어학/자격/기타정보,토익 800점 이상 지원자 수,외국어 시험,단일 조건,,,,,,,,
F-24,Track 1,공고뷰-어학/자격/기타정보,영어 회화 가능한 지원자가 몇 명이야?,외국어 활용,단일 조건,,,,,,,,
F-25,Track 1,공고뷰-어학/자격/기타정보,어학연수 경험이 있는 지원자 수,해외경험,단일 조건,,,,,,,,
F-26,Track 1,공고뷰-어학/자격/기타정보,정보처리기사 자격증 보유자 몇 명이야?,자격증,단일 조건,,,,,,,,
F-27,Track 1,공고뷰-어학/자격/기타정보,교육이수 이력이 있는 지원자 수,교육이수,단일 조건,,,,,,,,
F-28,Track 1,공고뷰-어학/자격/기타정보,팀 프로젝트 경험이 있는 지원자 몇 명이야?,학내외 활동,단일 조건,,,,,,,,
F-29,Track 1,공고뷰-어학/자격/기타정보,봉사활동 경험이 있는 지원자 수,봉사활동,단일 조건,,,,,,,,
F-30,Track 1,전형뷰-평가 정보,확정 대기 중인 지원자가 몇 명이야?,최종 합격 여부,단일 조건,,,,,,,,
F-31,Track 1,전형뷰-평가 정보,서류전형 합격자 수 알려줘,전형유형 + 전형 결과,단일 조건,,,,,,,,
F-32,Track 1,전형뷰-평가 정보,스크리닝 통과한 지원자가 몇 명이야?,스크리닝 종합 결과,단일 조건,,,,,,,,
F-33,Track 1,전형뷰-평가 정보,지원서 커트라인 분석 중인 지원자 수가 몇 명이야?,지원서 커트라인,단일 조건,,,,,,,,
F-34,Track 1,전형뷰-평가 정보,역량검사 커트라인 통과한 지원자 몇 명이야?,역량검사 커트라인,단일 조건,,,,,,,,
F-35,Track 1,전형뷰-평가 정보,김상동이 최종 평가자로 배정된 지원자 수,최종 평가자,단일 조건,,,,,,,,
F-36,Track 1,전형뷰-평가 정보,"천동영, 이덕현이 일반 평가자가 배정된 지원자 몇 명이야?",일반 평가자,단일 조건,,,,,,,,
F-37,Track 1,전형뷰-역량검사 정보,역량검사를 아직 응시하지 않은 지원자 수가 몇 명이야?,응시 현황,단일 조건,,,,,,,,
F-38,Track 1,전형뷰-역량검사 정보,뉴로우 관련 공고를 통해 지원한 역량등급 A 이상의 지원자가 몇 명이야?,공고명 + 역량 종합 등급,단일 조건,,,,,,,,
F-39,Track 1,전형뷰-역량검사 정보,역량검사 전체 상위 50등 안에 드는 지원자 수,역량 종합 등수,단일 조건,,,,,,,,
F-40,Track 1,전형뷰-역량검사 정보,역량검사 분야 내 상위 30등 안에 드는 지원자 몇 명이야?,역량 종합 등수(분야내),단일 조건,,,,,,,,
F-41,Track 1,전형뷰-역량검사 정보,역량검사 응답을 신뢰할 수 있는 지원자 수가 몇 명이야?,응답 신뢰성,단일 조건,,,,,,,,
F-42,Track 1,전형뷰-NCS 역량검사 정보,NCS 핵심 종합 C등급 지원자가 몇 명이야?,핵심 종합 등급,단일 조건,,,,,,,,
F-43,Track 1,전형뷰-NCS 역량검사 정보,NCS 핵심 종합 점수가 30점 이상 50점 이하의 지원자 수가 몇 명이야?,핵심 종합 점수,단일 조건,,,,,,,,
F-44,Track 1,전형뷰-NCS 역량검사 정보,NCS 전체 상위 100등 안에 드는 지원자 몇 명이야?,핵심 종합 등수,단일 조건,,,,,,,,
F-45,Track 1,전형뷰-NCS 역량검사 정보,NCS 분야 내 상위 50등 안에 드는 지원자 수,핵심 종합 등수(분야 내),단일 조건,,,,,,,,
F-46,Track 1,전형뷰-NCS 역량검사 정보,NCS 응답 신뢰성이 높은 지원자가 몇 명이야?,응답 신뢰성(NCS),단일 조건,,,,,,,,
F-47,Track 1,전형뷰-메시지 정보,다음 전형 참석 의사 밝힌 지원자 수,다음 전형 참석,단일 조건,,,,,,,,
F-48,Track 1,전형뷰-메시지 정보,면접 참석한다고 회신한 지원자 몇 명이야?,면접 참석 회신,단일 조건,,,,,,,,
F-49,Track 1,전형뷰-메시지 정보,일반형으로해볼까' 공고에서 전형 안내를 받지 못한 지원자 수가 몇 명이야?,채용공고명 + 전형 안내,단일 조건,,,,,,,,
F-50,Track 1,전형뷰-메시지 정보,최근 3개월 이내 합격자 발표 대상 지원자가 몇 명이야?,기간 + 합격자 발표,단일 조건,,,,,,,,
F-51,Track 1,전형뷰-메시지 정보,SMS를 발송한 지원자 수를 알려줘,SMS 발송 시도,단일 조건,,,,,,,,
F-52,Track 1,전형뷰-메시지 정보,이내 메일을 발송한 지원자가 몇 명이야?,메일 발송 시도,단일 조건,,,,,,,,
