checklist_id,name,scope,category,description,insight_template,pain_point,actions,completion_events,completion_message
CL_001,인재 조건 정의하기,채용별,운영,채용 생성 직후.,인재 조건을 정의해주세요,"어떤 역량을 선택해야 할지 모름, 과거 채용과 일관성 있게 설정했는지 불안","1. 인재 조건 설정 열기 [열기] → 2. 주요 요소 확인 (필요 역량, 우대 조건) → 3. 저장",save:talent_criteria,인재 조건 정의 완료! 이 기준으로 스크리닝과 역량검사가 진행돼요.
CL_005,블라인드 채용 설정하기,채용별,운영,"공고 게시 전이고 블라인드 미설정 상태일 때.
우선순위 상승: 공공기관(필수), 게시 예정일 임박.",블라인드 채용 설정을 확인해주세요,"어떤 항목을 가려야 하는지 모름, 법적 요건 충족하는지 불안",1. 블라인드 설정 열기 [열기] → 2. 주요 요소 확인 (가릴 항목: 이름/학력/사진 등) → 3. 저장,save:blind_settings,블라인드 설정 완료! 공정한 채용을 응원해요.
CL_007,지원서 양식 설정하기,채용별,운영,채용 생성 후 지원서 양식 미설정 상태.,지원서 양식을 설정해주세요,"어떤 항목을 받아야 할지 모름, 필수/선택 구분이 적절한지 불안","1. 지원서 설정 열기 [열기] → 2. 주요 요소 확인 (항목 구성, 필수 항목) → 3. 저장",save:application_form,지원서 양식 설정 완료!
CL_008,공고 설정하기,채용별,운영,지원서 양식 설정 완료 후.,공고 설정을 확인해주세요,"접수 기간이 적절한지 불안, 노출 설정이 제대로 됐는지 모름","1. 공고 설정 열기 [열기] → 2. 주요 요소 확인 (접수 기간, 노출 설정) → 3. 저장",save:posting_settings,공고 설정 완료!
CL_010,공고 게시하기,채용별,운영,"공고 설정 완료 후, 게시 전 상태.",공고를 게시해주세요,"게시 전 빠뜨린 설정이 있을까 불안, 게시 후 수정이 어려울까 우려","1. 게시 정보 열기 [열기] → 2. 주요 요소 확인 (지원서 양식, 접수 기간, 노출 설정) → 3. 공고 게시",save:posting_published,공고 게시 완료! 지원자를 기다려볼까요?
CL_011,지원서 제출 독려하기,채용별,운영,"접수기간 중이고 미제출자가 존재할 때.
우선순위 상승: 마감 D-3 이내, 미제출자 다수.",미제출자 {pending_count}명에게 독려 메일을 보내보세요,"누구에게 보내야 하는지 모름, 메일 내용이 적절한지 불안, 발송 시점이 맞는지 모름","1. 독려 메일 설정 열기 [열기] → 2. 주요 요소 확인 (발송 대상, 메일 내용, 발송 시간) → 3. 저장 → 4. 발송 대상자 확인 [대상자 보기]",save:reminder_settings,독려 메일 설정 완료! 예약된 시간에 발송돼요.
CL_012,역량검사 전형 안내 설정하기,채용별,운영,"역량검사 전형이 생성되었고 전형 안내 미발송 상태일 때.
우선순위 상승: 응시 시작일 D-3 이내, 대상자 다수.",역량검사 안내를 {applicant_count}명에게 발송해주세요,"발송 대상이 맞는지 불안, 안내 내용이 적절한지 모름, 발송 시점이 맞는지 모름","1. 전형 안내 설정 열기 [열기] → 2. 주요 요소 확인 (발송 방법, 발송 시간, 내용) → 3. 저장 → 4. 발송 대상자 확인 [대상자 보기]",save:notification_settings,전형 안내 설정 완료! 예약된 시간에 {target_count}명에게 발송될 예정이에요.
CL_016,서류 평가자 배정하기,채용별,운영,"서류 전형 생성 후, 평가자 미배정 상태.",서류 평가자를 배정해주세요,"누구를 평가자로 배정해야 할지 모름, 배정 비율이 적절한지 불안","1. 평가자 배정 열기 [열기] → 2. 주요 요소 확인 (평가자 목록, 배정 방식) → 3. 저장",save:evaluator_assignment,평가자 배정 완료!
CL_018,서류 평가자 안내하기,채용별,운영,"평가자 배정 완료 후, 평가 안내 미발송 상태.",평가자에게 평가 안내를 발송해주세요,"안내 내용이 적절한지 모름, 평가 기간이 맞는지 불안","1. 평가 안내 설정 열기 [열기] → 2. 주요 요소 확인 (안내 내용, 평가 기간) → 3. 발송",send:evaluator_notification,평가 안내 발송 완료!
CL_019,서류 평가 완료 독려하기,채용별,운영,"평가 기간 중이고 미완료 평가자가 존재할 때.
우선순위 상승: 평가 마감 D-2 이내, 미완료 평가자 다수.",미완료 평가자 {evaluator_count}명에게 독려해주세요,"누구에게 독려해야 하는지 모름, 어떤 내용으로 보내야 할지 모름",1. 평가 현황 확인 [평가 현황 보기] → 2. 미완료 평가자 목록 확인 → 3. 독려 메일 발송 [발송하기],send:evaluator_reminder,독려 메일 발송 완료! {sent_count}명의 평가자에게 전달됐어요.
CL_021,서류/역량검사 합격자 발표하기,채용별,운영,"서류/역량검사 전형 평가 완료 후, 결과 미발표 상태.",합격자 발표를 진행해주세요,"합격 기준이 적절한지 불안, 발표 내용이 맞는지 모름","1. 결과 발표 설정 열기 [열기] → 2. 주요 요소 확인 (합격자 명단, 발표 내용) → 3. 발표",send:result_announcement,합격자 발표 완료!
CL_035,채용 성과 리포트 생성하기,채용별,결과 분석,"채용 종료 후.
우선순위 상승: 종료 후 1주 이내.",채용 성과 리포트를 생성해보세요,"어떤 지표를 봐야 할지 모름, 리포트 해석이 어려움","1. 리포트 생성 열기 [열기] → 2. 주요 지표 확인 (지원율, 합격률, 소요 기간) → 3. 리포트 저장",save:performance_report,성과 리포트 생성 완료!
CL_036,채용 결과 보고서 준비하기,채용별,결과 분석,"채용 종료 완료 (최종 합격 안내 발송).
우선순위 상승: 종료 후 1~2주 이내, 성과 리포트 미생성.",채용 결과 보고서를 준비해주세요,"보고서에 뭘 넣어야 할지 모름, 경영진 보고 형식이 맞는지 불안","1. 보고서 템플릿 열기 [열기] → 2. 주요 내용 확인 (채용 결과 요약, 주요 지표) → 3. 보고서 저장",save:result_report,결과 보고서 준비 완료!
